iter	Logloss
0	0.6563790761
1	0.6239753501
2	0.5983910011
3	0.5644423433
4	0.5422560462
5	0.5218377476
6	0.5030222428
7	0.4839627185
8	0.4661613814
9	0.445805953
10	0.4318589222
11	0.4168216673
12	0.4028903972
13	0.389703109
14	0.3802326414
15	0.3692891374
16	0.3605818269
17	0.3529277334
18	0.3451580654
19	0.3379067782
20	0.3314714401
21	0.3241281908
22	0.3175321672
23	0.3134221633
24	0.3092633293
25	0.3039000113
26	0.2995332962
27	0.2944767587
28	0.2892854388
29	0.2849015991
30	0.2819205419
31	0.279536949
32	0.2770074105
33	0.2749890473
34	0.2724437737
35	0.2696078411
36	0.267116779
37	0.2650168862
38	0.2638161923
39	0.2615274494
40	0.2597726794
41	0.2580481596
42	0.2561171427
43	0.2546149639
44	0.2535313612
45	0.251571642
46	0.2503383156
47	0.2482036928
48	0.2472308044
49	0.2459841469
50	0.2452035188
51	0.2441793163
52	0.2424650697
53	0.2410213741
54	0.2398432606
55	0.2390104736
56	0.2382789905
57	0.2365564262
58	0.2360414371
59	0.2353897538
60	0.234607585
61	0.2338431356
62	0.2332527794
63	0.232849092
64	0.2319412975
65	0.2315529893
66	0.2312086421
67	0.2308866769
68	0.2305289565
69	0.2302316054
70	0.2300220237
71	0.2296606149
72	0.229224899
73	0.2289037264
74	0.2284192161
75	0.2280341534
76	0.2276003391
77	0.2272027498
78	0.2265804043
79	0.2264238396
80	0.2260051888
81	0.2254697726
82	0.2252045667
83	0.2247727026
84	0.2245158794
85	0.2240771394
86	0.2236120853
87	0.2234889571
88	0.222964341
89	0.2223741093
90	0.2222034062
91	0.2220245646
92	0.2217846126
93	0.2216355261
94	0.2213987663
95	0.2212194838
96	0.220807768
97	0.2205840404
98	0.2204696674
99	0.2201863885
100	0.2200691535
101	0.2198840968
102	0.2197745033
103	0.219412801
104	0.2191158527
105	0.2190180231
106	0.2188058997
107	0.218627409
108	0.2184858539
109	0.2183192924
110	0.2181465381
111	0.2180956392
112	0.2179017881
113	0.2177520359
114	0.2176108655
115	0.2174899772
116	0.2173598343
117	0.217233229
118	0.2170152667
119	0.2168056124
120	0.2167166881
121	0.216546008
122	0.2164391838
123	0.2161828177
124	0.2160956173
125	0.2155687239
126	0.2154616162
127	0.2152843389
128	0.2151889501
129	0.2151024514
130	0.2149468635
131	0.2148796463
132	0.2147649931
133	0.2145773258
134	0.2144203222
135	0.2142051634
136	0.2140141232
137	0.2137896346
138	0.2136915152
139	0.2135347644
140	0.213251503
141	0.2131884177
142	0.2131069078
143	0.2129845139
144	0.2129370346
145	0.2128564443
146	0.2127252919
147	0.2126140552
148	0.212514137
149	0.2124272548
150	0.2123240567
151	0.2122250857
152	0.2121414265
153	0.2120252131
154	0.211862671
155	0.2116844317
156	0.2116442541
157	0.2115857008
158	0.2114924845
159	0.2113858186
160	0.2112970642
161	0.2112267557
162	0.2110532438
163	0.2109078793
164	0.2108558549
165	0.2108068597
166	0.2106845612
167	0.2106004621
168	0.2104454474
169	0.2103806206
170	0.2102224162
171	0.2101298117
172	0.2100356718
173	0.2099486808
174	0.2098553884
175	0.2097316071
176	0.209633327
177	0.2094520319
178	0.2092800612
179	0.2092043994
180	0.2090249606
181	0.2088834868
182	0.2086586676
183	0.2086558206
184	0.2085930584
185	0.2084885635
186	0.2083250279
187	0.2082666833
188	0.2079769306
189	0.2079403292
190	0.2078788369
191	0.2078101836
192	0.2076396431
193	0.207596811
194	0.207518633
195	0.2074700637
196	0.2073762456
197	0.2073160154
198	0.2072462807
199	0.2071404947
200	0.2070549993
201	0.2070026675
202	0.2068652603
203	0.2067664409
204	0.2066912618
205	0.2066311153
206	0.2064813757
207	0.2063809634
208	0.2063215434
209	0.2063019505
210	0.2060840811
211	0.2060272692
212	0.2059480819
213	0.205826195
214	0.2057811292
215	0.2055668215
216	0.2054719434
217	0.205409678
218	0.2053628804
219	0.2053095404
220	0.2052492307
221	0.205173159
222	0.2050839895
223	0.2050067703
224	0.2048610492
225	0.2047125189
