iter	Passed	Remaining
0	65	65218
1	67	33808
2	70	23362
3	72	18086
4	75	14942
5	77	12875
6	80	11402
7	82	10287
8	85	9417
9	88	8723
10	90	8161
11	93	7666
12	95	7270
13	98	6947
14	101	6655
15	103	6387
16	106	6155
17	109	5963
18	111	5775
19	114	5610
20	117	5463
21	119	5330
22	122	5194
23	124	5073
24	127	4958
25	129	4863
26	132	4770
27	134	4680
28	137	4592
29	139	4512
30	143	4471
31	145	4404
32	148	4340
33	150	4280
34	153	4224
35	155	4171
36	158	4115
37	160	4062
38	162	4002
39	164	3953
40	167	3911
41	169	3872
42	172	3833
43	175	3822
44	178	3785
45	180	3750
46	183	3718
47	185	3688
48	188	3658
49	190	3627
50	193	3601
51	196	3579
52	198	3552
53	201	3529
54	203	3503
55	206	3481
56	209	3459
57	211	3436
58	214	3416
59	216	3392
60	218	3368
61	221	3347
62	223	3328
63	226	3309
64	228	3290
65	231	3272
66	233	3255
67	236	3239
68	238	3223
69	241	3206
70	244	3194
71	246	3180
72	249	3169
73	252	3156
74	254	3139
75	257	3126
76	259	3113
77	262	3102
78	264	3088
79	267	3077
80	269	3062
81	272	3049
82	274	3035
83	277	3023
84	279	3013
85	282	3002
86	285	2991
87	287	2982
88	290	2971
89	292	2959
90	295	2950
91	297	2940
92	300	2929
93	302	2919
94	305	2910
95	308	2900
96	310	2890
97	312	2880
98	316	2880
99	319	2871
100	321	2861
101	324	2853
102	326	2845
103	329	2836
104	331	2828
105	334	2820
106	336	2811
107	339	2801
108	341	2794
109	344	2785
110	347	2779
111	349	2771
112	352	2763
113	354	2754
114	357	2747
115	359	2740
116	362	2733
117	364	2724
118	366	2715
119	369	2706
120	371	2699
121	374	2692
122	376	2685
123	379	2677
124	381	2671
125	384	2665
126	386	2659
127	389	2654
128	392	2649
129	394	2643
130	397	2636
131	399	2629
132	402	2623
133	404	2616
134	407	2609
135	409	2603
136	412	2598
137	415	2592
138	417	2586
139	419	2579
140	422	2573
141	424	2567
142	427	2562
143	430	2557
144	432	2551
145	435	2546
146	437	2539
147	440	2534
148	442	2528
149	445	2523
150	447	2518
151	450	2512
152	453	2508
153	455	2503
154	458	2496
155	460	2491
156	463	2486
157	465	2480
158	468	2475
159	470	2470
160	472	2464
161	475	2460
162	478	2455
163	480	2450
164	483	2445
165	485	2439
166	487	2433
167	490	2430
168	493	2424
169	495	2420
170	497	2414
171	500	2409
172	502	2403
173	505	2398
174	507	2392
175	509	2387
176	512	2381
177	514	2376
178	517	2371
179	519	2366
180	521	2361
181	524	2357
182	527	2353
183	529	2346
184	531	2342
185	534	2337
186	536	2332
187	539	2328
188	541	2324
189	544	2320
190	546	2315
191	549	2310
192	551	2306
193	554	2302
194	556	2297
195	559	2293
196	561	2288
197	563	2284
198	566	2280
199	568	2275
200	571	2271
201	573	2267
202	576	2263
203	578	2259
204	581	2254
205	583	2249
206	586	2245
207	588	2241
208	591	2238
209	594	2234
210	596	2230
211	599	2229
212	602	2226
213	605	2222
214	607	2218
215	609	2213
216	612	2209
217	614	2206
218	617	2202
219	620	2198
220	622	2194
221	625	2191
222	627	2188
223	630	2184
224	633	2181
225	635	2177
226	638	2174
227	641	2170
228	643	2166
229	646	2163
230	648	2159
231	651	2155
232	653	2151
233	656	2147
234	658	2144
235	661	2140
236	663	2136
237	666	2132
238	668	2129
239	671	2125
240	673	2122
241	676	2118
242	678	2114
243	681	2110
244	683	2106
245	685	2102
246	688	2099
247	691	2096
248	693	2092
249	696	2088
250	698	2085
251	701	2081
252	703	2077
253	706	2074
254	708	2071
255	711	2068
256	714	2065
257	717	2062
258	719	2058
259	721	2054
260	724	2051
261	727	2048
262	729	2044
263	732	2041
264	734	2037
265	737	2034
266	739	2030
267	741	2026
268	744	2022
269	746	2019
270	749	2015
271	751	2011
272	754	2008
273	756	2005
274	759	2001
275	761	1997
276	764	1994
277	766	1991
278	769	1988
279	771	1984
280	774	1980
281	776	1977
282	779	1974
283	781	1970
284	784	1967
